text,label
未收到，能尽快帮我处理吗？,logistics
关于售后流程，我想了解一下。,inquiry
质量差，能尽快帮我处理吗？,complaint
关于损坏，我想了解一下。,complaint
满意这件事处理得不错，谢谢你们。,thanks
售后流程这件事处理得不错，谢谢你们。,inquiry
您好，我的描述不符还没解决。,complaint
想咨询一下关于描述不符的问题。,complaint
想咨询一下关于服务很好的问题。,thanks
关于满意，我想了解一下。,thanks
关于配送范围，我想了解一下。,inquiry
想咨询一下关于换货规则的问题。,inquiry
想咨询一下关于售后流程的问题。,inquiry
发货时间，能尽快帮我处理吗？,inquiry
快递，能尽快帮我处理吗？,logistics
您好，我的包装破损还没解决。,complaint
请问损坏怎么办？,complaint
想咨询一下关于保修期的问题。,inquiry
发票问题，请尽快处理。,inquiry
请问态度很好怎么办？,thanks
想咨询一下关于发票问题的问题。,inquiry
质量差影响使用体验，请及时处理。,complaint
想咨询一下关于发票问题的问题。,inquiry
描述不符影响使用体验，请及时处理。,complaint
关于快递员态度差，我想了解一下。,logistics
快递员态度差，请尽快处理。,logistics
退货，请尽快处理。,complaint
发货时间影响使用体验，请及时处理。,inquiry
服务很好影响使用体验，请及时处理。,thanks
配送范围影响使用体验，请及时处理。,inquiry
关于态度很好，我想了解一下。,thanks
请问假货怎么办？,complaint
收到货很快，能尽快帮我处理吗？,thanks
物流这件事处理得不错，谢谢你们。,logistics
服务很好，请尽快处理。,thanks
快递影响使用体验，请及时处理。,logistics
售后流程影响使用体验，请及时处理。,inquiry
请问发票问题怎么办？,inquiry
服务很好让我很不满意，希望退货。,thanks
服务很好，请尽快处理。,thanks
关于换货规则，我想了解一下。,inquiry
配送范围，能尽快帮我处理吗？,inquiry
包裹丢了这件事处理得不错，谢谢你们。,logistics
请问损坏怎么办？,complaint
服务很好，能尽快帮我处理吗？,thanks
关于感谢客服，我想了解一下。,thanks
请问损坏怎么办？,complaint
快递员态度差这件事处理得不错，谢谢你们。,logistics
描述不符让我很不满意，希望退货。,complaint
想咨询一下关于配送慢的问题。,logistics
想咨询一下关于配送慢的问题。,logistics
售后流程，能尽快帮我处理吗？,inquiry
想咨询一下关于包装破损的问题。,complaint
想咨询一下关于收到货很快的问题。,thanks
保修期影响使用体验，请及时处理。,inquiry
您好，我的服务很好还没解决。,thanks
请问发货时间怎么办？,inquiry
保修期让我很不满意，希望退货。,inquiry
请问配送慢怎么办？,logistics
损坏，能尽快帮我处理吗？,complaint
描述不符，能尽快帮我处理吗？,complaint
您好，我的损坏还没解决。,complaint
换货规则，请尽快处理。,inquiry
关于退货，我想了解一下。,complaint
保修期，能尽快帮我处理吗？,inquiry
质量差，能尽快帮我处理吗？,complaint
满意，能尽快帮我处理吗？,thanks
退货让我很不满意，希望退货。,complaint
未收到这件事处理得不错，谢谢你们。,logistics
配送慢影响使用体验，请及时处理。,logistics
质量差，请尽快处理。,complaint
售后流程这件事处理得不错，谢谢你们。,inquiry
服务很好，请尽快处理。,thanks
质量不错，能尽快帮我处理吗？,thanks
发货时间让我很不满意，希望退货。,inquiry
想咨询一下关于损坏的问题。,complaint
您好，我的包装破损还没解决。,complaint
快递，请尽快处理。,logistics
感谢客服，请尽快处理。,thanks
换货规则，能尽快帮我处理吗？,inquiry
包装破损让我很不满意，希望退货。,complaint
您好，我的感谢客服还没解决。,thanks
退货，能尽快帮我处理吗？,complaint
关于换货规则，我想了解一下。,inquiry
您好，我的收到货很快还没解决。,thanks
请问发货时间怎么办？,inquiry
想咨询一下关于物流的问题。,logistics
请问配送慢怎么办？,logistics
假货，请尽快处理。,complaint
想咨询一下关于态度很好的问题。,thanks
想咨询一下关于物流的问题。,logistics
损坏，请尽快处理。,complaint
请问快递员态度差怎么办？,logistics
关于包装破损，我想了解一下。,complaint
想咨询一下关于配送范围的问题。,inquiry
想咨询一下关于感谢客服的问题。,thanks
感谢客服，能尽快帮我处理吗？,thanks
想咨询一下关于假货的问题。,complaint
关于快递员态度差，我想了解一下。,logistics
配送慢让我很不满意，希望退货。,logistics
满意，能尽快帮我处理吗？,thanks
损坏，能尽快帮我处理吗？,complaint
质量差，请尽快处理。,complaint
满意，能尽快帮我处理吗？,thanks
物流影响使用体验，请及时处理。,logistics
快递员态度差影响使用体验，请及时处理。,logistics
关于发货时间，我想了解一下。,inquiry
服务很好这件事处理得不错，谢谢你们。,thanks
您好，我的发票问题还没解决。,inquiry
您好，我的假货还没解决。,complaint
态度很好让我很不满意，希望退货。,thanks
配送慢这件事处理得不错，谢谢你们。,logistics
质量差让我很不满意，希望退货。,complaint
发货时间这件事处理得不错，谢谢你们。,inquiry
损坏让我很不满意，希望退货。,complaint
想咨询一下关于假货的问题。,complaint
您好，我的收到货很快还没解决。,thanks
未收到影响使用体验，请及时处理。,logistics
包裹丢了，请尽快处理。,logistics
请问包装破损怎么办？,complaint
损坏让我很不满意，希望退货。,complaint
发货时间让我很不满意，希望退货。,inquiry
满意影响使用体验，请及时处理。,thanks
描述不符这件事处理得不错，谢谢你们。,complaint
关于服务很好，我想了解一下。,thanks
描述不符，能尽快帮我处理吗？,complaint
态度很好这件事处理得不错，谢谢你们。,thanks
想咨询一下关于质量不错的问题。,thanks
请问换货规则怎么办？,inquiry
发货时间，请尽快处理。,inquiry
快递员态度差，请尽快处理。,logistics
满意，能尽快帮我处理吗？,thanks
想咨询一下关于快递员态度差的问题。,logistics
包装破损，请尽快处理。,complaint
质量差这件事处理得不错，谢谢你们。,complaint
想咨询一下关于描述不符的问题。,complaint
关于售后流程，我想了解一下。,inquiry
关于收到货很快，我想了解一下。,thanks
您好，我的损坏还没解决。,complaint
您好，我的态度很好还没解决。,thanks
想咨询一下关于感谢客服的问题。,thanks
描述不符影响使用体验，请及时处理。,complaint
发货时间让我很不满意，希望退货。,inquiry
关于发货时间，我想了解一下。,inquiry
关于描述不符，我想了解一下。,complaint
发票问题这件事处理得不错，谢谢你们。,inquiry
想咨询一下关于退货的问题。,complaint
描述不符让我很不满意，希望退货。,complaint
您好，我的换货规则还没解决。,inquiry
配送慢这件事处理得不错，谢谢你们。,logistics
包裹丢了这件事处理得不错，谢谢你们。,logistics
您好，我的满意还没解决。,thanks
质量差，能尽快帮我处理吗？,complaint
质量差这件事处理得不错，谢谢你们。,complaint
您好，我的描述不符还没解决。,complaint
未收到让我很不满意，希望退货。,logistics
想咨询一下关于发货时间的问题。,inquiry
请问发票问题怎么办？,inquiry
想咨询一下关于快递的问题。,logistics
关于物流，我想了解一下。,logistics
您好，我的发票问题还没解决。,inquiry
态度很好影响使用体验，请及时处理。,thanks
质量差让我很不满意，希望退货。,complaint
请问包装破损怎么办？,complaint
描述不符让我很不满意，希望退货。,complaint
您好，我的满意还没解决。,thanks
您好，我的发货时间还没解决。,inquiry
您好，我的假货还没解决。,complaint
请问配送慢怎么办？,logistics
换货规则让我很不满意，希望退货。,inquiry
请问态度很好怎么办？,thanks
您好，我的假货还没解决。,complaint
配送慢让我很不满意，希望退货。,logistics
物流让我很不满意，希望退货。,logistics
关于配送范围，我想了解一下。,inquiry
关于包装破损，我想了解一下。,complaint
关于质量差，我想了解一下。,complaint
您好，我的发票问题还没解决。,inquiry
想咨询一下关于未收到的问题。,logistics
请问满意怎么办？,thanks
您好，我的快递还没解决。,logistics
收到货很快，能尽快帮我处理吗？,thanks
损坏，请尽快处理。,complaint
关于损坏，我想了解一下。,complaint
您好，我的快递还没解决。,logistics
想咨询一下关于态度很好的问题。,thanks
想咨询一下关于发票问题的问题。,inquiry
想咨询一下关于满意的问题。,thanks
描述不符，能尽快帮我处理吗？,complaint
想咨询一下关于配送慢的问题。,logistics
包装破损让我很不满意，希望退货。,complaint
您好，我的快递还没解决。,logistics
退货这件事处理得不错，谢谢你们。,complaint
损坏，能尽快帮我处理吗？,complaint
未收到影响使用体验，请及时处理。,logistics
假货这件事处理得不错，谢谢你们。,complaint
物流，请尽快处理。,logistics
服务很好让我很不满意，希望退货。,thanks
包裹丢了影响使用体验，请及时处理。,logistics
关于退货，我想了解一下。,complaint
想咨询一下关于配送慢的问题。,logistics
快递这件事处理得不错，谢谢你们。,logistics
请问服务很好怎么办？,thanks
描述不符这件事处理得不错，谢谢你们。,complaint
描述不符这件事处理得不错，谢谢你们。,complaint
配送范围这件事处理得不错，谢谢你们。,inquiry
您好，我的发票问题还没解决。,inquiry
发货时间影响使用体验，请及时处理。,inquiry
售后流程让我很不满意，希望退货。,inquiry
损坏，请尽快处理。,complaint
物流影响使用体验，请及时处理。,logistics
您好，我的满意还没解决。,thanks
想咨询一下关于满意的问题。,thanks
服务很好，能尽快帮我处理吗？,thanks
关于假货，我想了解一下。,complaint
想咨询一下关于配送范围的问题。,inquiry
关于服务很好，我想了解一下。,thanks
发票问题，请尽快处理。,inquiry
满意，请尽快处理。,thanks
满意影响使用体验，请及时处理。,thanks
损坏，请尽快处理。,complaint
配送慢这件事处理得不错，谢谢你们。,logistics
发票问题，请尽快处理。,inquiry
发票问题，请尽快处理。,inquiry
包装破损，请尽快处理。,complaint
请问描述不符怎么办？,complaint
包裹丢了，请尽快处理。,logistics
您好，我的包裹丢了还没解决。,logistics
假货，请尽快处理。,complaint
配送慢让我很不满意，希望退货。,logistics
快递员态度差让我很不满意，希望退货。,logistics
关于包裹丢了，我想了解一下。,logistics
配送范围，请尽快处理。,inquiry
您好，我的发票问题还没解决。,inquiry
保修期影响使用体验，请及时处理。,inquiry
想咨询一下关于态度很好的问题。,thanks
您好，我的包裹丢了还没解决。,logistics
请问质量差怎么办？,complaint
请问保修期怎么办？,inquiry
关于未收到，我想了解一下。,logistics
快递这件事处理得不错，谢谢你们。,logistics
满意这件事处理得不错，谢谢你们。,thanks
换货规则让我很不满意，希望退货。,inquiry
配送慢影响使用体验，请及时处理。,logistics
感谢客服这件事处理得不错，谢谢你们。,thanks
您好，我的发货时间还没解决。,inquiry
关于配送范围，我想了解一下。,inquiry
请问快递员态度差怎么办？,logistics
配送范围影响使用体验，请及时处理。,inquiry
未收到，能尽快帮我处理吗？,logistics
退货，能尽快帮我处理吗？,complaint
您好，我的售后流程还没解决。,inquiry
服务很好，请尽快处理。,thanks
未收到这件事处理得不错，谢谢你们。,logistics
售后流程影响使用体验，请及时处理。,inquiry
发货时间，请尽快处理。,inquiry
想咨询一下关于配送慢的问题。,logistics
服务很好让我很不满意，希望退货。,thanks
请问售后流程怎么办？,inquiry
您好，我的售后流程还没解决。,inquiry
保修期让我很不满意，希望退货。,inquiry
配送范围让我很不满意，希望退货。,inquiry
请问包裹丢了怎么办？,logistics
配送慢让我很不满意，希望退货。,logistics
想咨询一下关于配送范围的问题。,inquiry
包装破损，请尽快处理。,complaint
配送慢，请尽快处理。,logistics
您好，我的物流还没解决。,logistics
您好，我的服务很好还没解决。,thanks
质量差，能尽快帮我处理吗？,complaint
想咨询一下关于假货的问题。,complaint
关于收到货很快，我想了解一下。,thanks
关于质量不错，我想了解一下。,thanks
描述不符，请尽快处理。,complaint
质量差让我很不满意，希望退货。,complaint
请问感谢客服怎么办？,thanks
想咨询一下关于售后流程的问题。,inquiry
包装破损让我很不满意，希望退货。,complaint
假货，请尽快处理。,complaint
服务很好，请尽快处理。,thanks
物流这件事处理得不错，谢谢你们。,logistics
请问满意怎么办？,thanks
描述不符影响使用体验，请及时处理。,complaint
想咨询一下关于包裹丢了的问题。,logistics
质量不错，请尽快处理。,thanks
您好，我的物流还没解决。,logistics
关于质量差，我想了解一下。,complaint
质量差影响使用体验，请及时处理。,complaint
关于发货时间，我想了解一下。,inquiry
保修期影响使用体验，请及时处理。,inquiry
损坏让我很不满意，希望退货。,complaint
服务很好影响使用体验，请及时处理。,thanks
请问包裹丢了怎么办？,logistics
售后流程影响使用体验，请及时处理。,inquiry
您好，我的快递还没解决。,logistics
假货，能尽快帮我处理吗？,complaint
配送慢，能尽快帮我处理吗？,logistics
服务很好这件事处理得不错，谢谢你们。,thanks
关于包裹丢了，我想了解一下。,logistics
售后流程让我很不满意，希望退货。,inquiry
发货时间影响使用体验，请及时处理。,inquiry
未收到让我很不满意，希望退货。,logistics
满意，请尽快处理。,thanks
想咨询一下关于配送范围的问题。,inquiry
包裹丢了影响使用体验，请及时处理。,logistics
